sigma_t,delta_epsilon,delta_sigma
1,0.0005,0.2
1.2,0.0005,0.24
1.44,0.0005,0.288
1.728,0.0005,0.3456
2.0736,0.0005,0.41472
2.48832,0.0005,0.497664
2.985984,0.0005,0.5971968
3.5831808,0.0005,0.71663616
4.29981696,0.0005,0.859963392
5.159780352,0.0005,1.03195607
6.191736422,0.0005,1.238347284
7.430083707,0.0005,1.486016741
8.916100448,0.0005,1.78322009
10.69932054,0.0005,2.139864108
12.83918465,0.0005,2.567836929
15.40702157,0.0005,3.081404315
18.48842589,0.0005,3.697685178
22.18611107,0.0005,4.437222213
26.62333328,0.0005,5.324666656
31.94799994,0.0005,6.389599987
38.33759992,0.0005,7.667519985
46.00511991,0.0005,9.201023982
55.20614389,0.0005,11.04122878
66.24737267,0.0005,13.24947453
79.4968472,0.0005,15.89936944
95.39621664,0.0005,19.07924333
114.47546,0.0005,22.89509199
137.370552,0.0005,27.47411039
164.8446624,0.0005,32.96893247
197.8135948,0.0005,39.56271897
237.3763138,0.0005,47.47526276
284.8515766,0.0005,56.97031531
341.8218919,0.0005,68.36437837
410.1862702,0.0005,82.03725405
492.2235243,0.0005,98.44470486
590.6682292,0.0005,118.1336458
708.801875,0.0005,141.760375
850.56225,0.0005,170.11245
1020.6747,0.0005,204.13494
1224.80964,0.0005,244.961928
1469.771568,0.0005,293.9543136
1763.725882,0.0005,352.7451763
2116.471058,0.0005,423.2942116
2539.765269,0.0005,507.9530539
3047.718323,0.0005,609.5436647
3657.261988,0.0005,731.4523976
4388.714386,0.0005,877.7428771
5266.457263,0.0005,1053.291453
6319.748715,0.0005,1263.949743
7583.698458,0.0005,1516.739692
9100.43815,0.0005,1820.08763
10920.52578,0.0005,2184.105156
