data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
0.0048757754266262054,,0,13,0.0048757754266262054,
0.002271136036142707,,1,27,0.002271136036142707,
0.0008160429424606264,,2,41,0.0008160429424606264,
,0.0001627013843972236,3,49,,0.0001627013843972236
0.00020126061281189322,,3,55,0.00020126061281189322,
2.6559984689811245e-05,,4,69,2.6559984689811245e-05,
6.289038992690621e-06,,5,83,6.289038992690621e-06,
6.144211511127651e-06,,6,97,6.144211511127651e-06,
,5.419347637314331e-09,7,99,,5.419347637314331e-09
5.90469710459729e-07,,7,111,5.90469710459729e-07,
5.716458986171347e-07,,8,125,5.716458986171347e-07,
3.3163001944558346e-07,,9,139,3.3163001944558346e-07,
,1.1655877329985742e-07,10,149,,1.1655877329985742e-07
2.752622663138027e-07,,10,153,2.752622663138027e-07,
2.749133045654162e-07,,11,167,2.749133045654162e-07,
2.7643343969430134e-07,,12,181,2.7643343969430134e-07,
2.734491317823995e-07,,13,195,2.734491317823995e-07,
,4.818249976779043e-08,14,199,,4.818249976779043e-08
2.733412713951111e-07,,14,209,2.733412713951111e-07,
2.741595892530313e-07,,15,223,2.741595892530313e-07,
2.739055844358518e-07,,16,237,2.739055844358518e-07,
,1.117821966545307e-06,17,249,,1.117821966545307e-06
2.739820956776384e-07,,17,251,2.739820956776384e-07,
2.741539049111452e-07,,18,265,2.741539049111452e-07,
2.741880109624617e-07,,19,279,2.741880109624617e-07,
2.742778519859712e-07,,20,293,2.742778519859712e-07,
,3.539475130764913e-07,21,299,,3.539475130764913e-07
2.7436212235443236e-07,,21,307,2.7436212235443236e-07,
2.7442803229860147e-07,,22,321,2.7442803229860147e-07,
2.7450477091406356e-07,,23,335,2.7450477091406356e-07,
,6.024225029932495e-08,24,349,,6.024225029932495e-08
2.745811968907219e-07,,24,349,2.745811968907219e-07,
2.74651398513015e-07,,25,363,2.74651398513015e-07,
2.7472461283650773e-07,,26,377,2.7472461283650773e-07,
2.747911480582843e-07,,27,391,2.747911480582843e-07,
,5.287223530103802e-07,28,399,,5.287223530103802e-07
