global_idx,run_id,sigma_0,eps_delta,e_s
110,2,-196.7392508711908,-0.0005,78695.70034847633
493,11,-1079.7865957673555,-0.0005,431914.6383069422
284,6,-636.155230803493,-0.0005,254462.0923213972
903,21,-416.118323484859,-0.0005,166447.3293939436
243,5,-853.3344225256658,-0.0005,341333.7690102663
579,14,-0.8078584809287921,-0.0005,323.1433923715168
1154,27,-525.9983382956655,-0.0005,210399.33531826615
445,10,-306.1779961340227,-0.0005,122471.19845360907
202,4,-971.5461607804344,-0.0005,388618.4643121738
991,23,-745.1301307113281,-0.0005,298052.05228453124
355,8,-98.5928221920908,-0.0005,39437.12887683632
825,19,-912.0329153024818,-0.0005,364813.1661209928
656,15,-471.0670154673977,-0.0005,188426.8061869591
29,0,-251.44469923742665,-0.0005,100577.87969497066
487,11,-361.6183461690872,-0.0005,144647.3384676349
1033,24,-799.531556422192,-0.0005,319812.62256887683
532,12,-579.7775300645012,-0.0005,231911.01202580048
244,5,-1024.001307030799,-0.0005,409600.5228123196
1115,26,-688.4543753145631,-0.0005,275381.75012582523
441,10,-147.6552836294477,-0.0005,59062.11345177908
270,6,-49.54794625739896,-0.0005,19819.178502959585
783,18,-943.2210905504852,-0.0005,377288.4362201941
74,1,-388.8630425456731,-0.0005,155545.21701826924
904,21,-499.3419881818308,-0.0005,199736.79527273236
1194,28,-279.5619104793498,-0.0005,111824.76419173992
1116,26,-826.1452503774757,-0.0005,330458.1001509903
71,1,-225.03648295467195,-0.0005,90014.59318186878
1195,28,-335.4742925752198,-0.0005,134189.71703008792
906,21,-719.0524629818364,-0.0005,287620.9851927345
367,8,-879.0635061417248,-0.0005,351625.4024566899
365,8,-610.4607681539756,-0.0005,244184.3072615902
282,6,-441.7744658357591,-0.0005,176709.78633430364
368,8,-1054.8762073700698,-0.0005,421950.4829480279
1031,24,-555.2302475154111,-0.0005,222092.0990061644
440,10,-123.0460696912064,-0.0005,49218.427876482565
59,1,-25.239339132691065,-0.0005,10095.735653076426
769,18,-73.46425155447147,-0.0005,29385.70062178859
983,23,-173.29345356862075,-0.0005,69317.3814274483
1032,24,-666.2762970184933,-0.0005,266510.51880739734
865,20,-779.8673370601559,-0.0005,311946.9348240624
161,3,-990.6704209237248,-0.0005,396268.1683694899
450,10,-761.8688313402114,-0.0005,304747.53253608453
700,16,-1007.9732596330036,-0.0005,403189.3038532015
992,23,-894.1561568535938,-0.0005,357662.4627414375
1028,24,-321.3138006454925,-0.0005,128525.520258197
117,2,-704.9523063280342,-0.0005,281980.92253121367
864,20,-649.88944755013,-0.0005,259955.779020052
863,20,-541.5745396251083,-0.0005,216629.8158500433
1149,27,-211.38693507895505,-0.0005,84554.77403158203
1196,28,-402.5691510902637,-0.0005,161027.6604361055
699,16,-839.9777163608363,-0.0005,335991.08654433454
696,16,-486.0982154865951,-0.0005,194439.2861946381
236,5,-238.1499762796412,-0.0005,95259.99051185648
779,18,-454.871282094177,-0.0005,181948.5128376708
241,5,-592.5933489761568,-0.0005,237037.3395904627
861,20,-376.0934302952141,-0.0005,150437.37211808562
404,9,-348.85274174744615,-0.0005,139541.09669897845
366,8,-732.5529217847707,-0.0005,293021.1687139083
1107,26,-160.11248425667011,-0.0005,64044.99370266805
884,21,-13.024863036954237,-0.0005,5209.945214781694
315,7,-110.88663217292704,-0.0005,44354.65286917082
273,6,-85.61885113278541,-0.0005,34247.54045311416
